Agent,Mean_point_estimate,Mean_ci_lower,Mean_ci_upper,StdDev_point_estimate,StdDev_ci_lower,StdDev_ci_upper,CVaR_50_point_estimate,CVaR_50_ci_lower,CVaR_50_ci_upper,CVaR_95_point_estimate,CVaR_95_ci_lower,CVaR_95_ci_upper,CVaR_99_point_estimate,CVaR_99_ci_lower,CVaR_99_ci_upper,MAE_point_estimate,MAE_ci_lower,MAE_ci_upper,WorstCase_point_estimate,WorstCase_ci_lower,WorstCase_ci_upper
Agente delta de opción europea,0.0066778226755559444,0.0060804977780207995,0.007293022214435041,0.1038300022482872,0.10322767812758685,0.10447192844003439,0.07095915079116821,0.0701800562441349,0.07175437957048417,0.23799745738506317,0.23543636426329612,0.24083086624741554,0.355706125497818,0.349808306992054,0.3618417724967003,0.07796833664178848,0.07754838392138481,0.07842601109296084,0.9656163454055786,0.7477797269821167,0.9656163454055786
Agente Recurrente,0.006527516059577465,0.00541510246694088,0.007513275393284858,0.17259308695793152,0.17161197923123836,0.17359258644282818,0.12398061156272888,0.12273932415992021,0.1252862099558115,0.3887309432029724,0.3843699529767036,0.39302296563982964,0.5742552876472473,0.565091946721077,0.5841976121068001,0.1305498480796814,0.12989701442420482,0.1311972565948963,1.1947355270385742,1.0963913202285767,1.1947355270385742
