Agent,Mean,StdDev,CVaR_50,CVaR_95,CVaR_99,MAE,WorstCase
Agente delta de opción europea,0.0066778226755559444,0.1038300022482872,0.8809232115745544,1.048658847808838,1.1668590307235718,0.8029620051383972,1.7793159484863281
Agente Recurrente,0.006527516059577465,0.17259308695793152,0.9341660141944885,1.2000218629837036,1.3863208293914795,0.8033586144447327,2.0093917846679688
