pair_name,Agent,Mean Error,Standard Deviation,CVaR_50,CVaR_95,CVaR_99,MAE,WorstCase
bs_delta_hedging_vs_recurrent,Agente delta de opción europea,0.0066778227,0.10383,0.8809232,1.0486588,1.166859,0.802962,1.779316
bs_delta_hedging_vs_recurrent,Agente Recurrente,0.006527516,0.17259309,0.934166,1.2000219,1.3863208,0.8033586,2.0093918
