metric,real,synthetic
daily_return_mean,0.0006102851706789519,0.0006525042792792992
daily_return_std,0.01258541523875631,0.010824075461851188
daily_return_skew,-0.6059594666465216,0.07861156937995568
daily_return_kurtosis_excess,12.513383903677358,-0.3769921932572484
terminal_return_mean,0.03695556800842285,0.040680954615275065
terminal_return_std,0.07645483176554439,0.0732648503526691
terminal_hist_l1,0.0,0.424
one_step_log_return_hist_l1,0.0,0.2875026455026455
acf_abs_error_mean_lag_1_10,0.0,0.07117568133222382
acf_abs_error_lag_1,0.0,0.20344610408114117
acf_abs_error_lag_2,0.0,0.022142825777927064
acf_abs_error_lag_3,0.0,0.05465474314387195
acf_abs_error_lag_4,0.0,0.11648286396894114
acf_abs_error_lag_5,0.0,0.11281697676774938
acf_abs_error_lag_6,0.0,0.014199302407994802
acf_abs_error_lag_7,0.0,0.035985283069107865
acf_abs_error_lag_8,0.0,0.07977050475529184
acf_abs_error_lag_9,0.0,0.024366408354439248
acf_abs_error_lag_10,0.0,0.04789180099577384
