metric,real,synthetic
daily_return_mean,0.0005439239611411521,0.0010734422054224846
daily_return_std,0.012417199166904947,0.011825281078458623
daily_return_skew,-0.5662324582132656,0.2788402256459978
daily_return_kurtosis_excess,9.982403712817533,-0.9378150664550109
terminal_return_mean,0.03275586776733398,0.07463322525024413
terminal_return_std,0.0755938318724585,0.14371681755785284
terminal_hist_l1,0.0,0.78
one_step_log_return_hist_l1,0.0,0.5003174603174603
acf_abs_error_mean_lag_1_10,0.0,0.15455633928633922
acf_abs_error_lag_1,0.0,0.7157285838806624
acf_abs_error_lag_2,0.0,0.22897838513476085
acf_abs_error_lag_3,0.0,0.00030693268680512253
acf_abs_error_lag_4,0.0,0.11217798400846342
acf_abs_error_lag_5,0.0,0.12348534166287359
acf_abs_error_lag_6,0.0,0.07452443058764095
acf_abs_error_lag_7,0.0,0.1276039229327875
acf_abs_error_lag_8,0.0,0.029421839657530785
acf_abs_error_lag_9,0.0,0.10918851292686793
acf_abs_error_lag_10,0.0,0.024147459384999216
