Date,Adj Close,Close,High,Low,Open,Volume
2019-01-02,224.99534606933594,250.17999267578125,251.2100067138672,245.9499969482422,245.97999572753906,126925200
2019-01-03,219.62632751464844,244.2100067138672,248.57000732421875,243.6699981689453,248.22999572753906,144140700
2019-01-04,226.98287963867188,252.38999938964844,253.11000061035156,247.1699981689453,247.58999633789062,142628800
2019-01-07,228.77252197265625,254.3800048828125,255.9499969482422,251.69000244140625,252.69000244140625,103139100
2019-01-08,230.92189025878906,256.7699890136719,257.30999755859375,254.0,256.82000732421875,102512600
2019-01-09,232.00111389160156,257.9700012207031,258.9100036621094,256.19000244140625,257.55999755859375,95006600
2019-01-10,232.81951904296875,258.8800048828125,259.1600036621094,255.5,256.260009765625,96823900
2019-01-11,232.9095001220703,258.9800109863281,259.010009765625,257.0299987792969,257.67999267578125,73858100
2019-01-14,231.488525390625,257.3999938964844,258.29998779296875,256.4100036621094,256.8599853515625,70908200
2019-01-15,234.14157104492188,260.3500061035156,260.70001220703125,257.80999755859375,257.82000732421875,85208300
2019-01-16,234.7080841064453,260.9800109863281,261.9700012207031,260.6000061035156,260.8299865722656,77636700
2019-01-17,236.48880004882812,262.9599914550781,263.9200134277344,259.9599914550781,260.010009765625,96118400
2019-01-18,239.636474609375,266.4599914550781,266.9800109863281,263.0,264.9800109863281,127900300
2019-01-22,236.39886474609375,262.8599853515625,265.05999755859375,261.05999755859375,264.82000732421875,115531200
2019-01-23,236.8935089111328,263.4100036621094,264.7900085449219,260.6600036621094,264.010009765625,86030300
2019-01-24,237.01947021484375,263.54998779296875,264.20001220703125,262.0799865722656,263.2099914550781,59204100
2019-01-25,239.0249481201172,265.7799987792969,266.70001220703125,263.6600036621094,265.6099853515625,96883400
2019-01-28,237.2083282470703,263.760009765625,263.8299865722656,261.7900085449219,263.3900146484375,85613700
2019-01-29,236.8935089111328,263.4100036621094,264.54998779296875,262.4800109863281,263.9200134277344,66136300
2019-01-30,240.6437225341797,267.5799865722656,268.5199890136719,264.25,265.1000061035156,92473700
2019-01-31,242.75717163085938,269.92999267578125,270.4700012207031,267.2699890136719,267.510009765625,104012100
2019-02-01,242.87413024902344,270.05999755859375,271.20001220703125,269.17999267578125,270.1499938964844,85782500
2019-02-04,244.5828094482422,271.9599914550781,272.0299987792969,269.3599853515625,270.1099853515625,60744800
2019-02-05,245.60806274414062,273.1000061035156,273.44000244140625,271.8800048828125,272.44000244140625,79552800
2019-02-06,245.28424072265625,272.739990234375,273.3399963378906,271.9200134277344,272.7900085449219,58347800
2019-02-07,242.9459991455078,270.1400146484375,271.54998779296875,268.2900085449219,270.94000244140625,95482000
2019-02-08,243.2427520751953,270.4700012207031,270.5799865722656,267.8299865722656,268.75,75788900
2019-02-11,243.3777618408203,270.6199951171875,271.489990234375,270.0299987792969,271.20001220703125,68021400
2019-02-12,246.50743103027344,274.1000061035156,274.5199890136719,272.3399963378906,272.4200134277344,72270200
2019-02-13,247.30780029296875,274.989990234375,275.92999267578125,274.55999755859375,275.0299987792969,65277200
2019-02-14,246.7592010498047,274.3800048828125,275.6400146484375,272.8699951171875,273.7799987792969,83234400
2019-02-15,249.44821166992188,277.3699951171875,277.4100036621094,276.1300048828125,276.3599853515625,97088700
2019-02-19,249.87994384765625,277.8500061035156,278.5799865722656,276.4700012207031,276.4800109863281,59120800
2019-02-20,250.38352966308594,278.4100036621094,278.9200134277344,277.25,277.80999755859375,76610800
2019-02-21,249.49322509765625,277.4200134277344,278.1000061035156,276.3500061035156,277.70001220703125,64214700
2019-02-22,251.0400848388672,279.1400146484375,279.3599853515625,277.3999938964844,278.1099853515625,78114600
2019-02-25,251.3817901611328,279.5199890136719,281.30999755859375,279.42999267578125,280.7300109863281,69030700
2019-02-26,251.20193481445312,279.32000732421875,280.29998779296875,278.8999938964844,279.1300048828125,56844100
2019-02-27,251.0940704345703,279.20001220703125,279.5899963378906,277.4800109863281,278.5199890136719,56921600
2019-02-28,250.62632751464844,278.67999267578125,279.45001220703125,278.32000732421875,278.9599914550781,69268300
2019-03-01,252.19113159179688,280.4200134277344,280.8800048828125,278.82000732421875,280.44000244140625,78880500
2019-03-04,251.27386474609375,279.3999938964844,281.8699951171875,276.8399963378906,281.6000061035156,106494600
2019-03-05,250.93214416503906,279.0199890136719,279.760009765625,278.4100036621094,279.5400085449219,59114600
2019-03-06,249.4123077392578,277.3299865722656,279.1600036621094,276.9700012207031,279.1499938964844,75039800
2019-03-07,247.32579040527344,275.010009765625,276.989990234375,274.07000732421875,276.8299865722656,94885100
2019-03-08,246.83111572265625,274.4599914550781,274.6499938964844,272.4200134277344,272.94000244140625,85795800
2019-03-11,250.4105224609375,278.44000244140625,278.6199951171875,275.2300109863281,275.260009765625,65098900
2019-03-12,251.35482788085938,279.489990234375,280.07000732421875,278.8500061035156,279.05999755859375,79667500
2019-03-13,253.01852416992188,281.3399963378906,282.3800048828125,280.29998779296875,280.4800109863281,80639200
2019-03-14,252.85671997070312,281.1600036621094,281.8399963378906,280.6700134277344,281.3699951171875,67518400
2019-03-15,254.10594177246094,281.30999755859375,282.2099914550781,280.3299865722656,280.5400085449219,81309000
2019-03-18,255.02728271484375,282.3299865722656,282.6600036621094,281.29998779296875,281.54998779296875,62199800
2019-03-19,255.09056091308594,282.3999938964844,284.3599853515625,281.4100036621094,283.510009765625,90268100
2019-03-20,254.32273864746094,281.54998779296875,283.5,280.32000732421875,282.1600036621094,84609200
2019-03-21,257.19525146484375,284.7300109863281,285.17999267578125,280.5899963378906,280.6400146484375,79550400
2019-03-22,252.2451629638672,279.25,283.79998779296875,279.17999267578125,283.2200012207031,122659300
2019-03-25,252.0554656982422,279.0400085449219,280.19000244140625,277.6400146484375,278.8699951171875,85575200
2019-03-26,253.9342803955078,281.1199951171875,282.17999267578125,279.55999755859375,280.989990234375,68125900
2019-03-27,252.60647583007812,279.6499938964844,281.760009765625,277.92999267578125,281.1099853515625,72224700
2019-03-28,253.56393432617188,280.7099914550781,281.2099914550781,279.07000732421875,280.3500061035156,56238500
2019-03-29,255.16282653808594,282.4800109863281,282.8399963378906,281.1400146484375,282.3900146484375,82186800
2019-04-01,258.18878173828125,285.8299865722656,286.1600036621094,284.3999938964844,284.70001220703125,77617900
2019-04-02,258.3153076171875,285.9700012207031,286.2300109863281,285.0899963378906,286.0400085449219,40070400
2019-04-03,258.7218322753906,286.4200134277344,287.760009765625,285.75,287.32000732421875,68243200
2019-04-04,259.4083251953125,287.17999267578125,287.4599914550781,286.010009765625,286.7799987792969,48997500
2019-04-05,260.66387939453125,288.57000732421875,288.6300048828125,287.6000061035156,287.9200134277344,58621700
2019-04-08,260.862548828125,288.7900085449219,288.9100036621094,287.3699951171875,288.1000061035156,53566300
2019-04-09,259.5256652832031,287.30999755859375,288.0799865722656,286.70001220703125,287.7200012207031,66142300
2019-04-10,260.41094970703125,288.2900085449219,288.3900146484375,287.30999755859375,287.7699890136719,52601500
2019-04-11,260.33868408203125,288.2099914550781,288.8399963378906,287.5799865722656,288.8299865722656,55093100
2019-04-12,262.10015869140625,290.1600036621094,290.4700012207031,288.260009765625,290.0,69727800
2019-04-15,261.928466796875,289.9700012207031,290.3500061035156,289.0799865722656,290.239990234375,49596700
2019-04-16,262.10015869140625,290.1600036621094,291.010009765625,289.5,290.95001220703125,52153200
2019-04-17,261.4587707519531,289.45001220703125,291.42999267578125,288.989990234375,291.3999938964844,58268300
