Agent,Mean,StdDev,CVaR_50,CVaR_95,CVaR_99,MAE,WorstCase
Agente delta de opción europea,0.011700989678502083,0.09992566704750061,0.8730361461639404,1.0293850898742676,1.1438066959381104,0.7979178428649902,1.2538974285125732
Agente Recurrente,0.008074650540947914,0.16933126747608185,0.930996298789978,1.1809543371200562,1.331930160522461,0.801559329032898,1.5678253173828125
