epoch,train_loss
1,1.3577554
2,1.2520939
3,1.1983898
4,1.1672003
5,1.1448689
6,1.129513
7,1.1182946
8,1.109031
9,1.1009964
10,1.0936348
11,1.0864439
12,1.0791056
13,1.0708236
14,1.0599593
15,1.0467398
16,1.0328496
17,1.0213802
18,1.018184
19,1.0184973
20,1.0150607
21,1.0113037
22,1.0086294
23,1.0063592
24,1.0046017
25,1.0030062
26,1.0016837
27,1.0005462
28,0.9995117
29,0.9986169
30,0.99747217
31,0.99616086
32,0.99434376
33,0.9929162
34,0.99184877
35,0.9907934
36,0.9896777
37,0.98835915
38,0.9868951
39,0.9854044
40,0.98381346
41,0.98212147
42,0.98051834
43,0.9789111
44,0.9773983
45,0.9758469
46,0.97422105
47,0.9728038
48,0.97109956
49,0.96946776
50,0.96803635
51,0.9664935
52,0.9650661
53,0.9635417
54,0.9624629
55,0.96103203
56,0.9615685
57,0.9593132
58,0.9580151
59,0.9569311
60,0.95696914
61,0.95624495
62,0.9542529
63,0.95325774
64,0.95382595
65,0.9532523
66,0.95659465
67,0.98005944
68,0.9703247
69,0.95737207
70,0.9593561
71,0.98622894
72,0.98262537
73,0.97055817
74,0.9565277
75,0.95074975
76,0.9476282
77,0.9466468
78,0.9456992
79,0.9457804
80,0.94560516
81,0.9451939
82,0.9455167
83,0.9451501
84,0.9431961
85,0.9422463
86,0.94208795
87,0.942743
88,0.9411213
89,0.9414757
90,0.94628084
91,0.94160175
92,0.9399916
93,0.93892944
94,0.937585
95,0.93681896
96,0.93627566
97,0.93575716
98,0.93526727
99,0.93485993
100,0.9344686
