band_bound,band_pct,band_slug,simulation_index,eval_seed,run_dir,benchmark_point_agent,benchmark_empirical_agent,benchmark_point_mean,benchmark_point_stddev,benchmark_point_cvar_50,benchmark_point_cvar_95,benchmark_point_cvar_99,benchmark_point_mae,benchmark_point_worstcase,benchmark_empirical_mean_error,benchmark_empirical_std_error,benchmark_empirical_mae_error,benchmark_empirical_mse_error,benchmark_empirical_worst_case,benchmark_empirical_var_95,benchmark_empirical_var_99,benchmark_empirical_q_1pct,benchmark_empirical_q_0_5pct,benchmark_empirical_q_0_1pct,benchmark_empirical_cvar_50,benchmark_empirical_cvar_90,benchmark_empirical_cvar_95,benchmark_empirical_cvar_99,benchmark_empirical_es_95,benchmark_empirical_es_99,benchmark_empirical_exceedance_left_1pct,benchmark_empirical_exceedance_left_0_1pct
0.36,36.0,0360,1,34,G:\Mi unidad\Tesis2026\Models\Organized\THESIS_FINAL\W1_gbm_fixed\1b_2_asian_geo_tc1_band\compare\_tmp_bs_band_calibration\band_0360__sim_01,asian_delta_hedging,asian_delta_hedging,-1.2669298648834229,0.8175603747367859,4.0526533126831055,5.493120193481445,6.344788074493408,3.435790538787842,7.795185089111328,-1.266929904985428,0.8175603755449447,1.2948845484018323,2.2735163518075763,5.600452899932861,2.7624136209487915,3.6538718128204346,-3.6538718128204346,-4.03838790178299,-4.793535946369171,1.8801319877147675,2.911207510948181,3.3120498428344725,4.158663663864136,3.3120498428344725,4.158663663864136,0.01,0.001
0.37,37.0,0370,1,34,G:\Mi unidad\Tesis2026\Models\Organized\THESIS_FINAL\W1_gbm_fixed\1b_2_asian_geo_tc1_band\compare\_tmp_bs_band_calibration\band_0370__sim_01,asian_delta_hedging,asian_delta_hedging,-1.247645139694214,0.8154346346855164,4.0321197509765625,5.45828104019165,6.303104400634766,3.4163906574249268,8.190123558044434,-1.2476450817346574,0.8154346806645443,1.2793483229398728,2.2215519684071667,5.99304723739624,2.696472907066345,3.630939145088196,-3.630939145088196,-3.9798230123519898,-4.637362651824951,1.859720378088951,2.8694234540462493,3.277417704582214,4.117226593494415,3.277417704582214,4.117226593494415,0.01,0.001
0.38,38.0,0380,1,34,G:\Mi unidad\Tesis2026\Models\Organized\THESIS_FINAL\W1_gbm_fixed\1b_2_asian_geo_tc1_band\compare\_tmp_bs_band_calibration\band_0380__sim_01,asian_delta_hedging,asian_delta_hedging,-1.2339537143707275,0.8262138366699219,4.0231146812438965,5.464526176452637,6.371444225311279,3.40262222290039,8.190123558044434,-1.2339537892997263,0.8262138563914241,1.2711980362951756,2.2052712906203427,5.99304723739624,2.6914700508117675,3.647912712097168,-3.647912712097168,-4.032436130046844,-4.877756660938263,1.8507683222055435,2.8712898495197297,3.28362523317337,4.185161499977112,3.28362523317337,4.185161499977112,0.01,0.001
0.39,39.0,0390,1,34,G:\Mi unidad\Tesis2026\Models\Organized\THESIS_FINAL\W1_gbm_fixed\1b_2_asian_geo_tc1_band\compare\_tmp_bs_band_calibration\band_0390__sim_01,asian_delta_hedging,asian_delta_hedging,-1.2205137014389038,0.8327094316482544,4.013647079467773,5.46019458770752,6.37690544128418,3.3891024589538574,8.266335487365723,-1.2205137397408483,0.8327094468694736,1.2623149946570396,2.1830588118018563,6.068807125091553,2.6753994941711423,3.654469060897827,-3.654469060897827,-4.048113989830017,-4.87631471824646,1.841357130074501,2.865848640680313,3.2793200097084045,4.190590150356293,3.2793200097084045,4.190590150356293,0.01,0.001
0.4,40.0,0400,1,34,G:\Mi unidad\Tesis2026\Models\Organized\THESIS_FINAL\W1_gbm_fixed\1b_2_asian_geo_tc1_band\compare\_tmp_bs_band_calibration\band_0400__sim_01,asian_delta_hedging,asian_delta_hedging,-1.2114295959472656,0.8407878875732422,4.009604454040527,5.464488506317139,6.425954818725586,3.3799588680267334,8.604466438293457,-1.2114296080708504,0.8407879457619332,1.256840865337849,2.174486065049265,6.404931545257568,2.6881510496139525,3.660992612838745,-3.660992612838745,-4.048006777763367,-5.073681870937348,1.8373383207082747,2.865725987195969,3.283588243961334,4.239348816871643,3.283588243961334,4.239348816871643,0.01,0.001
0.41,41.0,0410,1,34,G:\Mi unidad\Tesis2026\Models\Organized\THESIS_FINAL\W1_gbm_fixed\1b_2_asian_geo_tc1_band\compare\_tmp_bs_band_calibration\band_0410__sim_01,asian_delta_hedging,asian_delta_hedging,-1.2017902135849,0.8532196283340454,4.007510185241699,5.491077899932861,6.442156791687012,3.3702616691589355,8.626749992370605,-1.201790166181326,0.8532196886826543,1.2526734957516192,2.172283440685864,6.427082538604736,2.7128666162490847,3.670299835205078,-3.670299835205078,-4.052017154693604,-5.101017339706421,1.8352566650390625,2.884637090444565,3.3100199842453004,4.255454189777375,3.3100199842453004,4.255454189777375,0.01,0.001
0.42,42.0,0420,1,34,G:\Mi unidad\Tesis2026\Models\Organized\THESIS_FINAL\W1_gbm_fixed\1b_2_asian_geo_tc1_band\compare\_tmp_bs_band_calibration\band_0420__sim_01,asian_delta_hedging,asian_delta_hedging,-1.1944663524627686,0.8608721494674683,4.005983829498291,5.482659339904785,6.418699741363525,3.3628971576690674,8.635515213012695,-1.1944663978517056,0.8608721528111049,1.2514725936710835,2.167850839082455,6.43579626083374,2.710120439529419,3.680999565124512,-3.680999565124512,-4.032472388744354,-4.969906433582306,1.8337395961999892,2.881034645318985,3.30165124130249,4.232137148380279,3.30165124130249,4.232137148380279,0.01,0.001
0.43,43.0,0430,1,34,G:\Mi unidad\Tesis2026\Models\Organized\THESIS_FINAL\W1_gbm_fixed\1b_2_asian_geo_tc1_band\compare\_tmp_bs_band_calibration\band_0430__sim_01,asian_delta_hedging,asian_delta_hedging,-1.1874775886535645,0.8714702129364014,4.0075883865356445,5.500460147857666,6.442673206329346,3.3558669090271,8.77259635925293,-1.1874775449991226,0.8714702179512974,1.2477250351667404,2.1695632606532254,6.57206392288208,2.716347312927246,3.7057256746292113,-3.7057256746292113,-4.051153514385224,-5.065824991226196,1.835333868288994,2.895822561740875,3.31934605884552,4.25596762418747,3.31934605884552,4.25596762418747,0.01,0.001
0.44,44.0,0440,1,34,G:\Mi unidad\Tesis2026\Models\Organized\THESIS_FINAL\W1_gbm_fixed\1b_2_asian_geo_tc1_band\compare\_tmp_bs_band_calibration\band_0440__sim_01,asian_delta_hedging,asian_delta_hedging,-1.1823101043701172,0.8829985857009888,4.011213779449463,5.518559455871582,6.458712100982666,3.3506710529327397,8.680870056152344,-1.1823100543439389,0.88299854885673,1.248118218165636,2.1775435018858587,6.480881214141846,2.715143704414368,3.734663600921631,-3.734663600921631,-4.058667738437652,-5.0215806369781495,1.838938505458832,2.906344666719437,3.3373384523391723,4.271911253929138,3.3373384523391723,4.271911253929138,0.01,0.001
0.45,45.0,0450,1,34,G:\Mi unidad\Tesis2026\Models\Organized\THESIS_FINAL\W1_gbm_fixed\1b_2_asian_geo_tc1_band\compare\_tmp_bs_band_calibration\band_0450__sim_01,asian_delta_hedging,asian_delta_hedging,-1.171851396560669,0.8926928043365479,4.007176399230957,5.515280246734619,6.466561794281006,3.340162515640259,8.987016677856445,-1.1718513967216015,0.89269280581586,1.244800584322214,2.170136141553761,6.785211086273193,2.714228701591492,3.726111350059509,-3.726111350059509,-4.058667738437652,-5.054052690982819,1.834924571609497,2.905356122493744,3.3340786938667297,4.27971446275711,3.3340786938667297,4.27971446275711,0.01,0.001
0.46,46.0,0460,1,34,G:\Mi unidad\Tesis2026\Models\Organized\THESIS_FINAL\W1_gbm_fixed\1b_2_asian_geo_tc1_band\compare\_tmp_bs_band_calibration\band_0460__sim_01,asian_delta_hedging,asian_delta_hedging,-1.1658685207366943,0.900943636894226,4.007286548614502,5.518979549407959,6.4678168296813965,3.334175109863281,8.987016677856445,-1.1658685412108898,0.900943623514887,1.243174155408144,2.170948868137342,6.785211086273193,2.7222069978713987,3.70163182258606,-3.70163182258606,-4.048622105121613,-5.100135335922241,1.8350349548101423,2.9117383205890657,3.3377557525634765,4.280962111949921,3.3377557525634765,4.280962111949921,0.01,0.001
0.47,47.0,0470,1,34,G:\Mi unidad\Tesis2026\Models\Organized\THESIS_FINAL\W1_gbm_fixed\1b_2_asian_geo_tc1_band\compare\_tmp_bs_band_calibration\band_0470__sim_01,asian_delta_hedging,asian_delta_hedging,-1.1627800464630127,0.9133359789848328,4.0116868019104,5.541289806365967,6.521345138549805,3.3311703205108643,8.987016677856445,-1.1627801688432693,0.9133359985441796,1.2451757511615753,2.186240367291876,6.785211086273193,2.7483426094055177,3.719785542488098,-3.719785542488098,-4.087825014591217,-5.28137468290329,1.8394085010290149,2.930300252914429,3.359933861732483,4.334172945022583,3.359933861732483,4.334172945022583,0.01,0.001
0.48,48.0,0480,1,34,G:\Mi unidad\Tesis2026\Models\Organized\THESIS_FINAL\W1_gbm_fixed\1b_2_asian_geo_tc1_band\compare\_tmp_bs_band_calibration\band_0480__sim_01,asian_delta_hedging,asian_delta_hedging,-1.1566181182861328,0.9212982058525084,4.011719703674316,5.543098449707031,6.517440319061279,3.324956178665161,9.434732437133787,-1.1566180262863637,0.9212981690720188,1.2460361860692502,2.1865555750660173,7.230269908905029,2.747525405883789,3.730679755210877,-3.730679755210877,-4.131245517730713,-5.1789574613571165,1.8394412727832796,2.9273687875270844,3.361731695652008,4.330291347503662,3.361731695652008,4.330291347503662,0.01,0.001
0.49,49.0,0490,1,34,G:\Mi unidad\Tesis2026\Models\Organized\THESIS_FINAL\W1_gbm_fixed\1b_2_asian_geo_tc1_band\compare\_tmp_bs_band_calibration\band_0490__sim_01,asian_delta_hedging,asian_delta_hedging,-1.1524807214736938,0.935230791568756,4.016188144683838,5.562582492828369,6.534162521362305,3.320915699005127,9.434732437133787,-1.1524806849598883,0.935230807490514,1.250151583468914,2.202868392484973,7.230269908905029,2.761417198181152,3.7487051010131833,-3.7487051010131833,-4.132341017723084,-5.178881980419159,1.843883097910881,2.9413342726230622,3.381100079536438,4.346914505958557,3.381100079536438,4.346914505958557,0.01,0.001
0.5,50.0,0500,1,34,G:\Mi unidad\Tesis2026\Models\Organized\THESIS_FINAL\W1_gbm_fixed\1b_2_asian_geo_tc1_band\compare\_tmp_bs_band_calibration\band_0500__sim_01,asian_delta_hedging,asian_delta_hedging,-1.1454476118087769,0.9488179087638856,4.017981052398682,5.580840587615967,6.52367115020752,3.314030170440674,9.305938720703123,-1.1454475926876069,0.948817920407668,1.2501794969797135,2.212305633680565,7.102241039276123,2.788175082206726,3.745891137123108,-3.745891137123108,-4.131249485015869,-5.099560585975647,1.845665812087059,2.963853607416153,3.399249600410461,4.336484937667847,3.399249600410461,4.336484937667847,0.01,0.001
